Building_number,Building_name, State_gross_area ,Land_entity_class,Year_construction_started,Year_occupied,Latest_reno
2,Abernethy Hall,"16,949",A,1907,1907,1924
3,Ackland Art Museum,"40,106",A,1958,1958,1990
4,Alumni Bldg,"31,999",A,1898,1901,1974
5,South Building,"32,495",A,1799,1814,2004
8,Bynum Hall,"23,189",A,1905,1905,2009
9,Caldwell Hall,"33,138",A,1912,1912,
10,Coker Hall,"78,032",A,1963,1963,2000
12,Carroll Hall,"94,432",A,1953,1955,2008
13,Davie Hall,"80,509",A,1967,1967,
14,Dey Hall,"64,091",A,1962,1962,
17,Gardner Hall,"41,380",A,1950,1953,
18,Gerrard Hall,"5,455",A,1822,1837,2007
19,Hanes Hall,"41,927",A,1950,1953,2008
20,Hill Hall,"61,298",A,1907,1907,2016
21,Howell Hall,"25,499",A,1904,1906,2015
24,Wilson Library,"316,694",A,1928,1929,
25,Carmichael Arena,"106,429",A,1965,1965,2009
26,Manning Hall,"57,202",A,1923,1923,1970
27,Memorial Hall,"62,799",A,1931,1931,2005
29,Mitchell Hall,"58,421",A,1964,1964,
30,Murphey Hall,"29,030",A,1922,1924,2003
31,Naval Armory,"18,519",A,1941,1945,1995
33,New East,"19,267",A,1861,1861,2007
35,New West,"19,682",A,1861,1861,2006
37,Peabody Hall,"79,788",A,1912,1913,2004
38,Person Hall,"7,901",A,1794,1797,2007
39,Phillips Hall,"148,065",A,1918,1919,
42,Playmakers Theatre,"7,153",A,1850,1851,2007
43,Carolina Hall,"30,874",A,1922,1922,2005
44,Swain Hall,"39,107",A,1913,1914,
46,Wilson  Hall,"100,574",A,1939,1940,2006
47,Woollen Gym,"143,052",A,1936,1937,2015
047A,Stallings-Evans Sports Medicine Center,"20,390",A,2009 Q4,2010,
047B,Kessing Pool Bath House,423,C,2012,2013,
047C,Kessing Pool Storage #1,291,C,2012,2013,
047D,Kessing Pool Storage #2,319,C,2012,2013,
48,Fordham Hall,"67,897",A,1988,1991,
50,Steele Bldg,"19,109",A,1921,1921,2008
51,Evergreen House,"3,764",B,1890,1890,2011
52,Graham Memorial,"28,557",A,1914,1931,1999
53,Aviary,636,B,2004,2005,
55,Hyde Hall,"16,062",A,2003,2003,
56,Battle Hall,"9,073",A,1912,1912,2004
57,Vance  Hall,"7,501",A,1912,1912,2004
58,Pettigrew Hall,"7,489",A,1912,1912,2004
62,Daniels Student Stores,"57,370",A,1964,1968,2017
63,House Undergraduate Library,"78,167",A,1964,1968,2002
64,Van  Hecke-Wettach  Hall,"165,303",A,1966,1968,
65,Graham Student Union,"152,022",A,1964,1968,2012
66,Greenlaw Hall,"58,069",A,1966,1970,2007
67,Hickerson House,"6,108",A,1930,1968,
69,Kenan Labs,"140,410",A,1968,1971,2008
70,Hamilton Hall,"85,327",A,1968,1972,
71,FPG Child Development Inst,"36,081",A,1970,1971,
74,Physical Plant Maintenance Shop,"2,840",B,1968,1968,
75,Grounds Maintenance Shop,"6,652",A,1970,1970,1986
76,Morehead Addition,"44,425",A,1973,1973,
78,Paul Green Theater,"41,395",A,1972,1978,1998
79,Hanes Art Center,"77,316",A,1980,1982,
80,Davis Library,"430,141",A,1978,1983,2007
81,Morehead Chemistry Labs,"60,947",A,1983,1985,1992
82,Smith Student Activities Center,"264,711",A,1980,1986,2003
082A,Koury Natatorium,"46,544",A,1986,1986,1987
082B,Carolina Athletics Media Center,"13,954",A,,2019,
83,Sitterson Hall (incl. Brooks),"110,698",A,1986,1987,2008
84,Tate-Turner-Kuralt Bldg,"79,288",A,1991,1995,
85,"Gillings Dramatic Arts, Center for","56,637",A,1998,1998,
86,Caudill Labs,"152,424",A,2003,2006,
87,Chapman Hall,"142,351",A,2003,2006,
88,Kenan Music Bldg,"44,717",A,2006 Q4,2008,
91,SASB - North,"74,558",A,2005,2007,
92,SASB - South,"27,213",A,2005,2007,
93,"Global Education, Fedex","143,750",A,2004,2007,
95,Stone Center,"45,244",A,2002 Q1,2004,
96,McColl Bldg,"215,271",A,1997,1997,2008
97,Business Parking Deck,"194,050",A,1996,1996,
98,Hill Alumni Center,"68,760",A,1988,1993,
99,Carmichael Res Hall,"107,889",A,1986,1986,2008
100,Alexander Res Hall,"25,111",A,1939,1939,2003
100B,Alexander Grounds Shed,560,C,2003,2005,
101,Avery Res Hall,"64,309",A,1958,1958,
102,Residence Hall One (Aycock Res),"34,284",A,1924,1924,1998
103,Student Affairs Bldg (Carr Bldg),"14,637",A,1900,1900,1972
104,Craige Res Hall,"154,307",A,1962,1962,2001
104B,Grounds Shed Behind Craige Res Hall,311,C,2001,2001,
105,Ehringhaus Res Hall,"156,315",A,1961,1962,2001
106,Everett Res Hall,"19,436",A,1928,1928,1987
107,Graham Res Hall,"24,200",A,1924,1924,2008
108,Grimes Res Hall,"23,992",A,1921,1922,1988
109,Hinton James Res Hall,"220,478",A,1966,1967,2009
110,Lewis Res Hall,"19,502",A,1922,1924,2008
111,Mangum Res Hall,"26,631",A,1921,1922,1988
112,Manly Res Hall,"26,490",A,1922,1922,1988
113,Morrison Res Hall,"217,522",A,1963,1965,2007
114,Old East,"17,965",A,1795,1795,2009
115,Old West,"18,239",A,1822,1823,2009
116,Parker Res Hall,"46,008",A,1957,1958,1996
117,Ruffin Res Hall,"23,992",A,1921,1922,1988
118,Stacy Res Hall,"20,110",A,1937,1938,2008
119,Teague Res Hall,"51,013",A,1958,1958,1999
121,Alderman Res Hall,"26,978",A,1937,1937,2004
122,Cobb Res Hall,"113,298",A,1952,1952,2006
123,Connor Res Hall,"47,743",A,1948,1948,2003
124,Joyner Res Hall,"52,623",A,1947,1948,2003
125,Kenan Res Hall,"34,152",A,1936,1939,2004
126,McIver Res Hall,"26,216",A,1939,1939,2004
128,Smith Bldg,"17,983",A,1900,1901,
129,Spencer Res Hall,"44,577",A,1921,1924,2006
131,Winston  Res  Hall,"44,769",A,1947,1948,2003
133,Lenoir Hall,"84,516",A,1938,1939,1998
136,Horton Res Hall,"74,403",A,2000,2002,
137,Craige North Res Hall,"75,582",A,2000,2002,
138,Koury Res Hall,"74,937",A,2000,2002,
139,Hardin Res Hall,"59,537",A,2000,2002,
148,Porthole Bldg,"4,462",B,1930,1930,
150,Coates Bldg,"9,958",A,1938,1939,1972
151,Campus Y,"14,464",A,1904,1907,2007
152,Morehead Planetarium,"56,868",A,1949,1949,
152A,Morehead Planetarium Grounds Shed A,152,C,2005,2005,
152B,Morehead Planetarium Grounds Shed B,198,C,2005,2005,
153,Jackson Hall,"13,896",A,1942,1942,
156A,Odum Village 217 Jackson Circle,"4,797",B,1960,1963,
156L,Odum Village 401 Mason Farm Rd,"6,235",A,1960,1963,
156M,Odum Village 405 Mason Farm Rd,"6,235",A,1960,1963,
156N,Odum Village Comm Shed #2 - Branson,35,C,,2006,
156P,Odum Village Comm Shed #3 - Mason Farm,35,C,,2006,
